,T,s,nllh_sampling,bic,success
1,25,0.10517511276552387,92.566017782243051,190.25599954388937,True
2,1,2.7886975761863777,12.128645538363962,27.201730055894366,True
3,8,0.051259261866486286,53.708032776924469,111.24470695033803,True
4,3,0.97730685048868216,25.609239574905835,54.65246635429682,True
5,4,0.78299469848026149,28.099707586711208,59.86297681955206,True
6,1,2.8968174975416758,12.238477025640279,27.421393030447,True
7,6,0.48912179620611873,50.672755397834678,105.55020341506032,True
8,2,0.21658706560747867,60.56394415082076,125.01970859975215,True
9,7,0.34590329184484969,26.937530563184328,57.5386227724983,True
10,2,2.4317802513923836,19.400324814233407,41.891692081825127,True
11,62,0.057951334045401426,81.741140273678354,169.18606302201292,True
12,40,0.048703111819219408,50.586758905129891,105.71681259252979,True
13,7,0.58826856443750919,30.059677646730169,64.179798304006752,True
14,19,0.11584661763579485,80.928811717483825,166.74042535755402,True
15,6,0.41640689046946938,44.109039582028416,92.278522174603253,True
16,58,0.038587729944054253,72.351399175817406,149.76539338466179,True
17,6,0.8064964699795456,33.835347496825634,71.829578077010936,True
18,6,0.88856860524586401,34.117648187406658,72.45480407998943,True
19,15,0.23321599602954443,53.54826782688481,111.85870958856738,True
20,12,0.35814601522127887,45.837295058371275,96.356721343866766,True
21,11,0.23159364924660369,58.245622693728485,121.02384488061023,True
22,6,0.85530106864345035,34.702798639392341,73.610289898175651,True
23,15,0.17851081684673731,53.918589335131927,112.44234885625194,True
24,2,9.9999872633969424,2.7726795211946511,6.931653403509193,True
25,1,9.9998974565235521,8.3185834307041393,19.527538619304444,True
26,22,0.16588254065382202,54.70561339559093,114.42186208527812,True
27,16,0.11902545102292642,67.980137950581266,140.57539641800381,True
28,61,0.048932273469711761,82.925167716763852,171.35159364407244,True
29,15,0.38705382196470889,49.800590152706185,104.6316182268048,True
30,8,0.67337626906177084,39.587699050484439,83.652734915447084,True
31,20,0.20241819038442249,55.100151856285088,115.25654951791849,True
32,3,0.68977054405501359,51.057373484416075,105.92140945860247,True
33,37,0.019824637914693015,75.47886652051362,155.38854983987056,True
34,7,0.3593992652773339,16.471139162349303,36.077772540627755,True
35,29,0.029130140815267387,51.17859352430991,106.48432143366492,True
36,13,0.37219743497092639,49.70535571599541,104.26274169591044,True
37,2,1.3860873083685923,26.394671645083285,56.047439828188054,True
38,5,0.26058430711685987,97.892065413043952,200.26146764056611,True
39,21,0.047992899215508311,55.540404456349727,115.27046365472587,True
40,1,9.9999970761902688,8.3185833492944763,19.527538456485118,True
41,2,1.2318773473749856,27.233132385700024,57.798469281575251,True
42,35,0.024006395601127377,49.088476754437274,102.27129807109665,True
