,T,s,T_batch,s_batch,nllh_sampling,bic,success
1,52,0.039989638399196149,51,0.031005568748135051,100.19971733276823,210.64736262434297,True
2,2,9.9999884395003811,1,2.415325940787755,11.075056795499973,28.038991549332827,True
3,10,0.59164627900215627,1,0.22881665370573975,38.42362468079731,84.504532154572814,True
4,2,9.9999803589811975,1,0.070407152836074849,24.190118249141349,55.248210907252989,True
5,3,9.9999008856300655,1,4.9428437796476609e-10,29.805374180750281,66.937871653759856,True
6,2,9.9997720470032228,1,9.99995350610223,9.0117760159030151,23.912429990138911,True
7,9,0.2769998938956662,4,0.35650788617077922,57.157434981092749,122.72425520096743,True
8,9,0.3385989322338121,1,3.7147494097588609,24.968622966519472,57.720886529260198,True
9,8,0.18858266972165064,7,0.37033233133560262,26.745683137281624,60.818489566822542,True
10,3,0.90464935860139883,1,1.9211569317845132,17.528746672652545,41.239578252021722,True
11,45,0.035148835722574497,44,0.097097906967204967,74.635770362809595,160.67910567493158,True
12,47,0.016852109230255603,45,0.047209237585420477,49.424688557547654,107.93596667963531,True
13,9,0.17441078210478825,8,0.51330739554987415,30.404314401576869,68.929514824246581,True
14,18,0.14734292854199438,17,0.10782056089847125,81.845788648321559,173.45718114181585,True
15,6,0.95212232438247613,4,0.82984524407833282,38.94899756227003,86.018881145632903,True
16,53,0.021863103611845632,51,0.047745596644686528,71.39935500650239,152.92390007905871,True
17,7,0.31816085278300643,6,0.80368015317379082,35.602304441895924,79.522375050511187,True
18,7,0.38864918936042181,6,0.74572028866273621,37.770014896123904,83.97904520260002,True
19,21,0.055422467272411666,20,0.14568893037036526,55.946149794991413,121.41664745957834,True
20,14,0.12323239158885599,13,0.29394542103477705,48.727594213592134,106.81945088143272,True
21,8,0.42791927524915385,7,0.48606568470472933,53.227996421082068,115.52119182847065,True
22,6,0.84171059793501479,5,1.1254333356524349,35.347037181466959,79.103459601715855,True
23,14,0.10204080130457151,13,0.23867532334961794,51.619034497929974,112.44840936783613,True
24,2,9.9999119581365257,1,0.75641376139377559,3.1114745994068214,8.9955379210534243,True
25,2,9.9999415351349263,1,9.9999280351686828,8.3185834020368024,22.417910319865932,True
26,26,0.037364994932186237,25,0.15147752835271716,52.531045936740824,115.08336246167416,True
27,24,0.065537445874293582,23,0.062428405157811478,69.491358910803655,148.21295885528983,True
28,31,0.06589006682786383,30,0.12712938820528397,75.101667218323541,161.20585085773655,True
29,15,0.22473065831788891,14,0.34760853189721241,54.466031459879815,118.9929387625445,True
30,8,0.4398987337895533,7,0.75651057058144544,41.72203426782665,92.398742164609715,True
31,26,0.048291547480852341,25,0.14731872667146653,55.816743004587146,121.7459776198709,True
32,5,1.0351130973554206,1,2.8690052040395613,24.388673640318359,56.390672260177354,True
33,26,0.070780845477376134,25,0.014735930864529737,72.370224164787942,153.6020819272625,True
34,8,0.21122221210063624,7,0.30231293084432553,16.825041566554546,39.921071564967392,True
35,3,2.1501543960191025,2,2.0384438695803684e-10,47.475339655880589,103.20494808185136,True
36,11,0.31515377383390963,10,0.65486422881710016,44.524317276400417,98.752695080640066,True
37,3,2.3105623258301469,1,2.9501678709664025,14.209933385572969,34.936059847188901,True
38,8,1.2734354075216063,1,0.22917822725761389,69.789460368663683,148.53359436628378,True
39,11,0.20576077265530576,10,0.089906848676917131,53.955887479892951,116.29108444383876,True
40,2,9.9999919300877309,1,9.9997772605126478,8.3185834704596875,22.417910456711702,True
41,2,2.0794511158108415,1,1.149891652889917,23.747646606170782,54.15970223269197,True
42,17,0.056808518701026003,16,0.062631145497993687,48.617415970762146,105.42352106596849,True
