,T,s,rho,nllh_sampling,bic,success
1,64,0.078372700432524325,0.16669624363832375,97.900964393893545,206.0498567465936,True
2,3,9.9998926278305049,0.85713740343175115,11.188898222005964,28.266674402344808,True
3,28,0.16944420116449838,0.72502390151626916,35.2512365981285,78.159755989235194,True
4,7,0.72985097921415565,0.38097318809295355,27.497537138561661,61.863048686093613,True
5,11,0.37531003199296231,0.24136388467663566,31.380260563510976,70.087644419281247,True
6,2,1.6905740411113139,0.99999999775064152,11.057270075552093,28.003418109437067,True
7,17,0.26803266078224464,0.34543904856253371,56.147583880756116,120.70455300029417,True
8,17,0.18088680015570224,0.9729987286192785,25.054324463625175,57.892289523471604,True
9,18,0.21010940503602971,0.16132012376407029,27.832099399247372,62.991322090754039,True
10,4,1.9370767640521458,0.83332908898444091,15.206476843915798,36.595038594548228,True
11,102,0.061640149058832007,0.038222277333133263,77.539251656470086,166.48606826225256,True
12,57,0.069835755712079908,0.095213628735613121,49.145477569115634,107.37754470277127,True
13,13,0.61219255783903537,0.10417119694995045,30.409200191876419,68.939286404845674,True
14,39,0.14031963429755812,0.17495116507758818,80.512783950827711,170.79117174682816,True
15,15,0.38627249717086432,0.29167663346017392,45.164533561472105,98.449953144037053,True
16,61,0.081275853036500464,0.082170706805161198,69.20838770252071,148.54196547109535,True
17,12,0.61740489439891499,0.13462801249042569,38.019569939147871,84.35690604501508,True
18,14,0.4535519268711512,0.14286291255194797,41.677396866820878,91.793809143993968,True
19,30,0.19771892997193521,0.085733507416170335,53.800816958120492,117.1259817858365,True
20,24,0.29216283692403688,0.083305919747868745,48.856427861061711,107.07711817637187,True
21,26,0.18620838468954914,0.17284533371252361,59.955773781896291,128.97674655009911,True
22,13,0.52683179126877322,0.16362521222659754,42.347897531678697,93.105180302139331,True
23,34,0.13257240456542058,0.1022656220826703,53.349658298563035,115.90965696910226,True
24,4,9.999879219191719,0.50001638881236476,2.7726341297585448,8.3178569817568704,True
25,2,9.9999994692739307,0.99999999816102147,8.3180385712930782,22.416820658378484,True
26,42,0.14009439079419406,0.050712362657874391,52.471173072728419,114.96361673364935,True
27,27,0.2030921250279781,0.19100080437534783,66.469031171544273,142.16830337677106,True
28,81,0.07427995698113346,0.055801155215460904,78.582715976757868,168.1679483746052,True
29,32,0.27534440761157386,0.070936645332272508,57.956474531111823,125.97382490500851,True
30,18,0.40247791430999752,0.11841005907334717,46.57712091312942,102.10891545521525,True
31,39,0.17107660427407628,0.055195030413108137,54.782203803901538,119.6768992184997,True
32,9,0.55620979275746962,0.93938689879481774,24.996568682574527,57.606462344689689,True
33,44,0.079065825461229366,0.36115281302931046,72.220160387327581,153.30195437234178,True
34,14,0.47516160922914435,0.21054163848041813,15.865854017576709,38.002696467011717,True
35,46,0.058285247380908081,0.24002583067963149,51.227645399481986,110.70955956905415,True
36,28,0.26619595621997177,0.077570049357484044,53.319396648599103,116.34285382503744,True
37,6,0.65750604271979241,0.93749379332278526,16.777796769601043,40.071786615245053,True
38,16,0.64723342644766901,0.72368517413606315,61.830141571289928,132.61495677153627,True
39,44,0.074832768508009545,0.30358772290785863,54.789969480084494,117.95924844422184,True
40,2,9.9999251424219011,0.99999999409087215,8.3180386159604218,22.416820747713174,True
41,5,0.88160113481604518,0.68749852947526868,24.182382781604819,55.029174583560042,True
42,45,0.058147422410610702,0.2291566392567698,49.193837461749617,106.57636404794343,True
